Tabelle 1;;;;;;;;;;
Id;;Lokal;Jahr;Telefonnummer;Straße;Hausnummer;lat, lon;Aus der Speisekarte;fremde Identifikatoren;Personen
p7/m1;p7_m1_ima4.jpg;Bräu-Rosl Festzelt;1965;;;;[48.13180, 11.54938];;;
p8/m1;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m2;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m3;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m4;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m5;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m6;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m7;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m8;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m9;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m10;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m11;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m12;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m13;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m14;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m15;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m16;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m17;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m18;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m19;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m20;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m21;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m22;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m23;p8_m22.jpg;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p8/m24;;Bürgerbräu;;;;;;;"Q592281
GND7723962-3";"Q77269
Q352"
p9/m1;p9_m1.jpg;Café de Paris;;;;;;;;
p10/m1;p10_m1_ima1.jpg;Chez Pierre;1960;65248;Rotkreuzplatz;2a;[48.1523256,11.5310822];;;
p11/m1;p11_m1_ima2.jpg;Christliches Hospiz München;19380821;52413;Mathildenstraße;4-5;[48.1360286,11.5609768];;;
p12/m1;;Coop im Stachus-Zentrum;19710726 - 19710730;;Karlsplatz;;[48.1393026,11.5631603];;;
p13/m1;;Gaststätte Deutsches Eck;19380826;;Schwanthalerstraße;58;[48.1376934,11.5534114];„Bestgepflegte Weine“ , „Eigene Schlächterei“;;
p14/m1;p14_m1_ima1.jpg;Gaststätte zum Deutschen Haus;19170606;;Sophienstraße;1a;48.1413139,11.5642087;„Man bittet höflichst, die Marken gleich bei Bestellung abzugeben“;;
p14/m2;;Gaststätte zum Deutschen Haus;19170627;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m3;;Gaststätte zum Deutschen Haus;19170730;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m4;;Gaststätte zum Deutschen Haus;19170730;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m5;;Gaststätte zum Deutschen Haus;19171121;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m6;;Gaststätte zum Deutschen Haus;19180501;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m7;;Gaststätte zum Deutschen Haus;19180619;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m8;;Gaststätte zum Deutschen Haus;19180227;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m9;;Gaststätte zum Deutschen Haus;19160705;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m10;;Gaststätte zum Deutschen Haus;19169697;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m11;;Gaststätte zum Deutschen Haus;19160517;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m12;;Gaststätte zum Deutschen Haus;Sommer 1916;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m13;;Gaststätte zum Deutschen Haus;19160718;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m14;;Gaststätte zum Deutschen Haus;19151108;;Sophienstraße;1a;48.1413139,11.5642087;„Speisen ohne Getränke 10 Pfg. mehr.“;;
p14/m15;;Gaststätte zum Deutschen Haus;19151108;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m16;;Gaststätte zum Deutschen Haus;19151110;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m17;;Gaststätte zum Deutschen Haus;19151106;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m18;;Gaststätte zum Deutschen Haus;19151107;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m19;;Gaststätte zum Deutschen Haus;19151107;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m20;;Gaststätte zum Deutschen Haus;19151106;;Sophienstraße;1a;48.1413139,11.5642087;;;
p14/m21;;Gaststätte zum Deutschen Haus;19151110;;Sophienstraße;1a;48.1413139,11.5642087;;;
p15/m1;p15_m1.jpg;Bar Deutsches Theater;ca. 1947;;Schwanthalerstraße;13;48.1372132,11.5604613;;;
p15/m2;;Bar Deutsches Theater;19450905;;Schwanthalerstraße;13;48.1372132,11.5604613;;;
p15/m3;;Bar Deutsches Theater;19461206;Fernsprecher Nr. 53476;Schwanthalerstraße;13;48.1372132,11.5604613;"„Achtung!
Auf Befehl des Provost Marshall und auf Anordnung des Münchner Polizei-Präsidenten ist die Abgabe von Speisen an die Angehörigen der Alliierten Streitkräfte verboten.
Dem Personal ist es strengstens untersagt an Zivilisten markenpflichtige Speisen ohne Marken abzugeben.
Der Betriebsleiter“

„10% Bedienungszuschlag“, „Das Personal ist angewiesen, größte Höflichkeit und Zuvorkommenheit an den Tag zu legen. Dolmetscher in verschiedene Sprachen vorhanden.“, „Mit Genehmigung des Münchner Polizeipräsidenten ist das Mitbringen von alkoholischen Getränken jeder Art verboten.“(08.11.1947)";;
p15/m4;;Bar Deutsches Theater;19450907;;Schwanthalerstraße;13;48.1372132,11.5604613;;;
p15/m5;;Bar Deutsches Theater;19471107;;Schwanthalerstraße;13;48.1372132,11.5604613;;;
p15/m6;;Bar Deutsches Theater;19450909;;Schwanthalerstraße;13;48.1372132,11.5604613;"Hs.: „für Americaner-Tage!“
„American - Officers - Nightclub“";;
p15/m7;p15_m7.jpg;Gaststätte Deutsches Theater;19451005;Fernsprecher Nr. 53476;Schwanthalerstraße;13;48.1372132,11.5604613;;;
p15/m8;;Gaststätte Deutsches Theater;19471108;;Schwanthalerstraße;13;48.1372132,11.5604613;;;
p15/m9;;Gaststätte Deutsches Theater;19461009;;Schwanthalerstraße;13;48.1372132,11.5604613;;;
p15/m10;;Gaststätte Deutsches Theater;19450911;;Schwanthalerstraße;13;48.1372132,11.5604613;;;
p15/m11;;Gaststätte Deutsches Theater;19450821;;Schwanthalerstraße;13;48.1372132,11.5604613;;;
p15/m12;;Gaststätte Deutsches Theater;19450927;;Schwanthalerstraße;13;48.1372132,11.5604613;;;
p16/m1;p16_m1.jpg;Donisl am Marienplatz ????????????????;;;;;;;;
p16/m2;;Donisl am Marienplatz ????????????????;;;;;;;;
p16/m3;p16_m3.jpg;Donisl am Marienplatz ????????????????;;;;;;;;
p16/m4;p16_m4_ima3.jpg;Donisl am Marienplatz ????????????????;;;;;;;;
p17/m1;;Hotel Drei Könige;19380821;;Schwanthalerstraße;38;48.1375305,11.5566325;;;
p18/m1;p18_m1_ima1.jpg;Strawberry Spezialiätenrestaurant im Hotel Drei Löwen;19741028 - 19741116;"Telefon (089)595521
Telex 05-23867
Telegramme: Löwenhotel";Schillerstraße;8;48.1385099,11.5610212;;;
p18/m2;p18_m2_ima1.jpg;Strawberry Spezialiätenrestaurant im Hotel Drei Löwen;19721120 - 19721223;;Schillerstraße;8;48.1385099,11.5610212;;;
p18/m3;;Strawberry Spezialiätenrestaurant im Hotel Drei Löwen;197107;;Schillerstraße;8;48.1385099,11.5610212;„Einfach ideal für die warme Jahreszeit . . . . oder zur Schlankheitskur . . . .“;;
p18/m4;;Strawberry Spezialiätenrestaurant im Hotel Drei Löwen;197105;;Schillerstraße;8;48.1385099,11.5610212;;;
p19/m1;p19_m1.jpg;Hotel Drei Raben;19370717;;Schillerstraße;6;48.1387094,11.5587336;"„Eigene Metzgerei
Eigene Conditorei“
„Prima Schoppenweine
Erstklassige Flaschenweine
Verlangen Sie bitte die Weinkarte!“";;
p19/m2;p19_m2.jpg;Hotel Drei Raben;19380827;;Schillerstraße ;6;48.1387094,11.5587336;;;
p20/m1;;Weinrestaurant Eckel;19190715;;Sparkassenstraße;;;„Fisch Majonaise“;;
p21/m1;;Hotel Europäischer Hof (Katholisches Hospiz);19380827;Fernsprech-Nummer 53404 (Hauszentrale;Bayerstraße;31;48.139037,11.5577213;"„10% Bedienungsaufschlag“

„Unser Hotel ist das wohlgepflegte und gemütliche Heim für jeden Reisenden“
„Fließendes warmes und kaltes Wasser
Privatbäder
Staatstelefon in den Zimmern
Lichtsignale statt Klingeln
Moderne Entstaubung“";;
p22/m1;p22_m1_ima2.jpg;Geisel’s Gaststätten im Hotel Excelsior München;19380709;;Schützenstraße;11;48.1398263,11.5621496;"„1/1 jg. deutsches Mastküken a. Spieß, Frühlingssalate, Mirabellen Daufinkartoffel (25 Minuten)“
";;
p22/m2;;Geisel’s Gaststätten im Hotel Excelsior München;;;Schützenstraße;12;48.1398263,11.5621496;;;
p24/m1;;Cafe Fahrig;19170208;;Neuhauser Straße;20;48.139104, 11.567116;;;"GND118601121
GND118553739
GND
118551655"
p25/m1;;Gasthaus zur Festwiese;19390712;57175;Schwanthalerstraße;85;48.1374172, 11.5534967;"„Kl. Schwedenplatte""";;
p25/m2;;Gasthaus zur Festwiese;19390716;;Schwanthalerstraße;85;48.1374172, 11.5534967;;;
p26/m1;p26_m1_ima2.jpg;Fischer-Vroni;1965;;;;[48.13475, 11.54980];„Die Tradition der „Fischer-Vroni“: Steckerlfische ab 3.-“;;
p27/m1;p27_m1.jpg;Hotel und Gaststätte Frankfurter Hof;19381019;51748;Schillerstraße;49;[48.1345389,11.5587408];"„Gemütlich eingerichtete Fremdenzimmer mit fließendem Kalt- und Warmwasser; Zentralheizung“";;"GND118625896
GND118560247"
p28/m1;p28_m1_ima1.jpg;Fränkische Weinstube;191609;;Münzstrasse;7;48.1377937,11.5774029;;;
p28/m2;p30_m1_ima1.jpg;Fränkische Weinstube;191609;;Münzstrasse;7;48.1377937,11.5774029;;;
p28/m3;;Fränkische Weinstube;19161212;;Münzstrasse;7;48.1377937,11.5774029;;;
p28/m4;;Fränkische Weinstube;191611;;Münzstrasse;7;48.1377937,11.5774029;;;
p29/m1;;Hotel Fränkischer Hof;19380710;Fernsprecher 50259 und 57483;Senefelderstraße;2-3;[48.1388771,11.5582113];"„Schweinskron gesotten, Meerettich 1.-“
„Illustrierte Gurke 1.50 Umstandsbrot“
„Schweinskäs“
„Jockeyschnitte“
„Knöcherl-Sulz“
„Aal in Gelee“
„Echte Schildkrötensuppe (Tasse) -.70“";;
p29/m2;;Hotel Fränkischer Hof;19390716;;Senefelderstraße;2-3;[48.1388771,11.5582113];;;
p30/m1;;Gaststätte Franziskaner;19140808;3371;"Gegenüber der Hauptpost
Residenzstraße";9;48.139399,11.577265;„Gegründet im Jahre 1802“;;
p30/m2;;Gaststätte Franziskaner;19190412;;"Gegenüber der Hauptpost
Residenzstraße";9;48.139399,11.577265;;;
p30/m3;;Gaststätte Franziskaner;19200506;;"Gegenüber der Hauptpost
Residenzstraße";9;48.139399,11.577265;;;
p30/m4;p30_m4_ima6.jpg;Gaststätte Franziskaner;19751212;;"Gegenüber der Hauptpost
Residenzstraße";9;48.139399,11.577265;;;
p30/m5;p30_m5.jpg;Gaststätte Franziskaner;19770225;;"Gegenüber der Hauptpost
Residenzstraße";9;48.139399,11.577265;„Urkundlich nachgewiesen seit 1574“;;
p31/m1;;Gaststätte Fraunhofer-Garten;19180904;;Fraunhoferstraße;10;48.1307438,11.570394;;"Q1495666
";
p32/m1;;Restaurant Friedensengel;19750914;478841;Ismaninger Straße;45;48.1414887,11.5981935;;;
p32/m2;;Restaurant Friedensengel;19750914;;Ismaninger Straße;45;48.1414887,11.5981935;;;
p34/m1;;Kaffee-Restaurant Gassner;19380827;Fernruf 50925;Bayerstraße;37/39;48.139059,11.5570002;"„Kalbskopfomlette, mit Salat“
„Weiche Eier Prinzeß“

„Die verehrten Gäste werden gebeten bei Bestellung die erforderlichen Marken unaufgefordert abzugeben, auch Brotm. !“

„Rinderbraten mit Maccaronie und Kartoffeln (50 gr.Fl.M.)(10 gr.F.M.)(25 gr.Teigw.M.)“";;
p34/m2;p34_m2.jpg;Kaffee-Restaurant Gassner;19430101;Fernruf 50925;Bayerstraße;37/39;48.139059,11.5570002;;;
p36/m1;;Hotel Germania;19390716;Ruf 50235;Schwanthalerstr.;28;48.1380499,11.5593251;"„Kalbskopf en tortue mit saurer Gurke u. Salzkartfl.“
„Kalbsherz vom Rost mit g a r n i e r t“
„Münchener Bürger-Kotelette“
„Moctortlesuppe“";;
p36/m2;p36_m2.jpg;Hotel Germania;19420703;Ruf 50235;Schwanthalerstr.;28;48.1380499,11.5593251;;;
p37/m1;;Gaststätte Goethe-Burg;19380826;Telefon 57356;Goethestr.;51;48.133292,11.5566502;"„Gratbraten“
„Goetheburg Schmanckerl“

„Bei Konzert 15 Pfg. Aufschlag.“";;
p37/m2;;Gaststätte Goethe-Burg;19380826 - 19380827;;Goethestr.;51;48.133292,11.5566502;;;
p37/m3;;Gaststätte Goethe-Burg;19380827;;Goethestr.;51;48.133292,11.5566502;;;
p38/m1;;Gaststätte Goethehof;19380826;;Goethestraße;35;48.1345976,11.5567608;„Milzwurst in Brotsuppe“;;
p39/m1;;Hotel und Gaststätte Goldenes Lamm;19390716;;Zweigstr.;4;48.1389085,11.5600267;"„Hirn mit Ei“
„Brustspitz mit Salat“";;
p40/m1;;Hotel Grosser Rosengarten;19380710;50459 u. 53779;Schützenstr.;3;48.1395815,11.5609472;"„Sämtliche Speisen werden mit Butter zubereitet“ ; „Eigene Hausmetzgerei“ ; „Kalbskopf vinaigrette“ ; „Hoppl-Poppl 1.50“ ; „beefsteak à la Maier“ (1938)

1943 Eingeklebte Marke: ""Vollkornbrot ist besser und gesunder - Verlangen Sie es auch hier“";;
p40/m1;;Hotel Grosser Rosengarten;;;Bayerstr.;6;48.1395222,11.5604065;;;
p40/m2;;Hotel Grosser Rosengarten;19430130;;Schützenstr.;3;48.1395815,11.5609472;;;
p41/m1;;Hotel und Gaststätte Grüner Hof;19430309;Fernruf 57889;Bayersstraße;35;48.139,11.5571313;"„Münchener Pickfein 2.30“ ; „Eigene Schlächterei“
";;
p41/m2;p41_m2_ima1.jpg;Hotel und Gaststätte Grüner Hof;19380827;;Bayersstraße;35;48.139,11.5571313;;;
p42/m1;p42_m1_ima1.jpg;Festhalle Hackerbräu;;;;;;;;
p43/m1;;Hacker-Bräustübl;19380826;Telefon 55246;Eingang Grasserstraße an der Hackerbrücke, Bayerstraße;34;48.1391184,11.5478145;"„Gutgepflegte Hackerbräu-Biere“ ; „Jeden Samstag und Sonntag Stimmungs-Konzert“";;
p44/m1;p44_m1.jpg;Gourmet-Restaurant Hahn;1967;;Theatinerstraße;48;48.1394148,11.5737285;"„Helgoländer Hummer nach Ihrer Wahl aus unserem Meerwasserbassin werden für Sie frisch abgekocht (30—40 Minuten). Preis nach Gewicht.“

„Öffnungszeiten „täglich von 11-15 Uhr, Samstag von 11-14 Uhr.“";;
p45/m1;p45_m1.jpg;Hauptbahnhof Gaststätten München ;19380827;Fernsprecher 57167;Nordbau III. Klasse;;[48.1402669,11.559998];„Mittagessen RM —.75 Abendessen RM —.75“;;
p46/m1;p46_m1_ima1.jpg;Restaurant Helgoland;19160506;Telephon 24574;Fraunhoferst.;39;48.1286764,11.5733122;"„Trambahnhaltestellen nach allen Richtungen“ ; „Kitzleber gedünstet“ ; „Kron gesotten“ ; „Wienerhirn“ ; „Gansherzl“ ; „Kitzköpferl abgebräunt“ ; „Illustrierte Gurke“";;
p46/m2;p46_m2_ima1.jpg;Restaurant Helgoland;19161020;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m3;;Restaurant Helgoland;19220713;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m4;;Restaurant Helgoland;19220727;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m5;;Restaurant Helgoland;19220515;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m6;;Restaurant Helgoland;19220614;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m7;;Restaurant Helgoland;19220728;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m8;;Restaurant Helgoland;19220621;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m9;p46_m9_ima3.jpg;Restaurant Helgoland;192305;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m10;;Restaurant Helgoland;19230925;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m11;;Restaurant Helgoland;19231105;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m12;;Restaurant Helgoland;19241029;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m13;;Restaurant Helgoland;19220803;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m14;;Restaurant Helgoland;19231125;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m15;;Restaurant Helgoland;19161105;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m16;;Restaurant Helgoland;19160330;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m17;;Restaurant Helgoland;19170714;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m18;;Restaurant Helgoland;19171120;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m19;;Restaurant Helgoland;19170202;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m20;;Restaurant Helgoland;19170201;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m21;;Restaurant Helgoland;191702;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m22;;Restaurant Helgoland;191702;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m23;;Restaurant Helgoland;191702;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m24;;Restaurant Helgoland;191702;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p46/m25;;Restaurant Helgoland;191702;;Fraunhoferst.;39;48.1286764,11.5733122;;;
p47/m1;p47_m1.jpg;Festzelt Hippodrom;;;;;;;;
p140/m1;;Festhalle Hofbäuhaus;1965;;;;;;;
p48/m1;p48_m1.jpg;Münchner Hofbräuhaus;19100419;;Platzl;9;48.1376134,11.5777366;;;
p48/m2;p48_m2_ima2.jpg;Münchner Hofbräuhaus;19150920;;Platzl;9;48.1376134,11.5777366;;;
p48/m3;;Münchner Hofbräuhaus;19111031;;Platzl;9;48.1376134,11.5777366;;;
p48/m4;;Münchner Hofbräuhaus;19191001;;Platzl;9;48.1376134,11.5777366;;;
p48/m5;;Münchner Hofbräuhaus;192305;;Platzl;9;48.1376134,11.5777366;;;
p48/m6;;Münchner Hofbräuhaus;192306;;Platzl;9;48.1376134,11.5777366;;;
p48/m7;;Münchner Hofbräuhaus;1906;;Platzl;9;48.1376134,11.5777366;;;
p48/m8;;Münchner Hofbräuhaus;ca. 1955;;Platzl;9;48.1376134,11.5777366;;;
p48/m9;p48_m9_ima1.jpg;Münchner Hofbräuhaus;19590905 - 19590906;;Platzl;9;48.1376134,11.5777366;;;
p48/m10;;Münchner Hofbräuhaus;19591106;;Platzl;9;48.1376134,11.5777366;;;
p48/m11;;Münchner Hofbräuhaus;19591107 - 19591108;;Platzl;9;48.1376134,11.5777366;;;
p48/m12;;Münchner Hofbräuhaus;19590908;;Platzl;9;48.1376134,11.5777366;;;
p48/m13;;Münchner Hofbräuhaus;19591109;;Platzl;9;48.1376134,11.5777366;;;
p48/m14;;Münchner Hofbräuhaus;19590910;;Platzl;9;48.1376134,11.5777366;;;
p48/m15;p48_m15_ima1.jpg;Münchner Hofbräuhaus;1906;;Platzl;9;48.1376134,11.5777366;;;
p48/m16;p48_m16_ima1.jpg;Münchner Hofbräuhaus;ca. 1906;;Platzl;9;48.1376134,11.5777366;;;
p49/m1;;Hoffmann Hotelbetriebe KG;1959;Tel.: 762909;im Ausstellungspark;;[48.1252,11.5258];"„Bärenschinken mit Butter und Brot“

„Original Flimmer-Bauten aus Geiselgasteig“

„Das Abendlokal mit Pfiff und Knall“

„So Ihr zufrieden waret, kömmet wieder; so nicht, schicket Eure leiben Verwandten!“";;
p49/m2;p49_m2_ima1.jpg;Hoffmann Hotelbetriebe KG;19680921 - 1968092;;Prinzregentenstraße;1;48.1441726,11.5836662;„Scharlachberg Meisterbrand“;;
p50/m1;;Gaststätten am Holzkirchner Bahnhof;19380827;55989;Bayerstraße;14;48.1393422,11.5530728;„Schweinszüngerl mit Kraut“;;
p51/m1;p51_m1.jpg;Holzmüllerstuben;19490301;Telefon Nummer 31644;Augustenstraße;10;48.1450707,11.5584315;"„Heringe Robert“
„Omelette mit Hirn 10 gr. Fett“

Zeichnung d. Tischanordnung";;
p52/m1;p52_m1_ima1.jpg;Humplmayr;1959;;Maximiliansplatz;16;48.1416664,11.5700175;"„Fasane, Rebhühner, Schnepfen nach Saison“
„Gayelord Hauser Platte“
„Echte Schildkrötensuppe mit altem Sherry“
„Beilagen nach Wunsch: pommes frites, pommes chips, pommes provençale, pommes paille, pommes sautées“
";;"Q76820
Q216431
"
p52/m2;p52_m2_ima2.jpg;Humplmayr;1959;;Maximiliansplatz;16;48.1416664,11.5700175;;;"Q76820
Q216431
"
p53/m1;p53_m1_ima1.jpg;Indisches Restaurant;nach 1957;;;;;„Presented by the Gaylord Restaurants Bombay and New Delhi“;;
p54/m1;p54_m1_ima2.jpg;Weinfestzelt Café Bar Johne's Goldenes Fassl;1965;;;;;;;
p55/m1;p55_m1_ima1.jpg;Käfer;19840125 - 19840204;Telefon (089)41681 - Telex 523073;Prinzregentenstraße;73;48.14052,11.5996513;"„Unsere Speisekarte wird täglich gewechselt“
„Ziegenkitz-Zunge, Hirn und Bries gebacken, auf Morchelrahm, Broccoli 15,50“";;
p55/m2;p55_m2.jpg;Käfer;19840114;;Prinzregentenstraße;73;48.14052,11.5996513;;;
p56/m1;;Gaststätte Kaiserglocke;19370924;Telefon Nr. 59412;Schwanthaler-Straße;90;48.13778,11.5499413;;;
p57/m1;p57_m1.jpg;Café Restaurant Hotel Kaiserhof;19380827;;Schützenstraße;12;48.1400607,11.5602951;"„Weißbrotschnitte belegt mit Streichwurst, Ei, Hering oder Bierkäs; 25 Pfennig“";;
p58/m1;p58_m1_ima1.jpg;Karikatu, Dresdner Kunstgenossenschaft +++++++++++++++++++++++++++;;;;;;;;
p59/m1;p59_m1_ima2.jpg;Restaurant zum Klösterl;19881020;476198;Schneckenburgerstraße;31;48.1378869,11.6061328;;;
p60/m1;;Kriegs-Speisenkarten München, ohne Nennung der Gaststätte;19430308;;;;;;;
p60/m2;;Kriegs-Speisenkarten München, ohne Nennung der Gaststätte;19430314;;;;;;;
p60/m3;;Kriegs-Speisenkarten München, ohne Nennung der Gaststätte;19421216;;;;;;;
p60/m4;;Kriegs-Speisenkarten München, ohne Nennung der Gaststätte;19181017;;;;;;;
p61/m1;p61_m1_ima1.jpg;Künstlerhaus;ca. 1968;;;;48.140167,11.568013;;;
p61/m2;p61_m2.jpg;Künstlerhaus;19110110;;;;48.140167,11.568013;;;
p61/m3;p61_m3.jpg;Künstlerhaus;19120612;;;;48.140167,11.568013;;;
p61/m4;p61_m4.jpg;Künstlerhaus;ca. 1975;;;;48.140167,11.568013;;;
p61/m5;;Künstlerhaus;ca. 1968;;;;48.140167,11.568013;;;
p61/m6;;Künstlerhaus;ca. 1972;;;;48.140167,11.568013;;;
p61/m7;;Künstlerhaus;1968;;;;48.140167,11.568013;;;
p61/m8;;Künstlerhaus;1968;;;;48.140167,11.568013;;;
p61/m9;;Künstlerhaus;ca. 1959;;;;48.140167,11.568013;;;
